"idVersionEquipo","idEquipo","fechaRecopilacion","fechaRecopilacionTextual","velocidadPlanDeJuego","velocidadPlanDeJuegoClase","regatesPlanDeJuegoClase","pasesPlanDeJuego","pasesPlanDeJuegoClase","colocacionPlanDeJuegoClase","pasesCreacionOcasiones","pasesCreacionOcasionesClase","centrosCreacionOcasiones","centrosCreacionOcasionesClase","tirosCreacionOcasiones","tirosCreacionOcasionesClase","colocaCreacionOcasionesClase","presionDefensa","presionDefensaClase","agresividadDefensa","agresividadDefensaClase","anchuraEquipoDefensa","anchuraEquipoDefensaClase","lineaDefensivaDefensaClase"
528,11,20150910,"10/09/2015",52,"Balanced","Normal",56,"Mixed","Organised",62,"Normal",53,"Normal",38,"Normal","Organised",39,"Medium",44,"Press",57,"Normal","Cover"
505,12,20100222,"22/02/2010",45,"Balanced","Little",50,"Mixed","Organised",40,"Normal",70,"Lots",70,"Lots","Organised",55,"Medium",55,"Press",40,"Normal","Cover"
506,12,20110222,"22/02/2011",45,"Balanced","Little",50,"Mixed","Organised",47,"Normal",45,"Normal",56,"Normal","Organised",55,"Medium",61,"Press",46,"Normal","Cover"
507,12,20120222,"22/02/2012",44,"Balanced","Little",49,"Mixed","Organised",51,"Normal",49,"Normal",48,"Normal","Organised",30,"Deep",40,"Press",43,"Normal","Cover"
508,12,20130920,"20/09/2013",46,"Balanced","Little",49,"Mixed","Organised",56,"Normal",54,"Normal",67,"Lots","Organised",39,"Medium",57,"Press",44,"Normal","Cover"
509,12,20140919,"19/09/2014",46,"Balanced","Normal",38,"Mixed","Organised",58,"Normal",48,"Normal",55,"Normal","Organised",51,"Medium",50,"Press",47,"Normal","Cover"
510,12,20150910,"10/09/2015",46,"Balanced","Normal",49,"Mixed","Organised",51,"Normal",52,"Normal",59,"Normal","Organised",30,"Deep",40,"Press",44,"Normal","Cover"
450,13,20100222,"22/02/2010",60,"Balanced","Little",50,"Mixed","Organised",45,"Normal",55,"Normal",55,"Normal","Organised",55,"Medium",30,"Contain",55,"Normal","Cover"
451,13,20110222,"22/02/2011",59,"Balanced","Little",43,"Mixed","Organised",56,"Normal",50,"Normal",66,"Normal","Organised",50,"Medium",43,"Press",55,"Normal","Cover"
452,13,20120222,"22/02/2012",48,"Balanced","Little",45,"Mixed","Organised",45,"Normal",51,"Normal",46,"Normal","Organised",50,"Medium",50,"Press",55,"Normal","Cover"
453,13,20130920,"20/09/2013",40,"Balanced","Little",55,"Mixed","Organised",63,"Normal",46,"Normal",63,"Normal","Organised",50,"Medium",38,"Press",55,"Normal","Cover"
454,13,20140919,"19/09/2014",68,"Fast","Normal",55,"Mixed","Organised",51,"Normal",59,"Normal",59,"Normal","Organised",41,"Medium",60,"Press",51,"Normal","Cover"
455,13,20150910,"10/09/2015",47,"Balanced","Normal",55,"Mixed","Organised",59,"Normal",68,"Lots",45,"Normal","Organised",50,"Medium",45,"Press",57,"Normal","Cover"
408,14,20100222,"22/02/2010",70,"Fast","Little",30,"Short","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",70,"High",60,"Press",70,"Wide","Cover"
409,14,20110222,"22/02/2011",67,"Fast","Little",38,"Mixed","Organised",51,"Normal",47,"Normal",55,"Normal","Organised",57,"Medium",39,"Press",51,"Normal","Cover"
410,14,20120222,"22/02/2012",58,"Balanced","Little",55,"Mixed","Organised",52,"Normal",55,"Normal",56,"Normal","Organised",50,"Medium",42,"Press",47,"Normal","Cover"
411,14,20130920,"20/09/2013",64,"Balanced","Little",55,"Mixed","Organised",52,"Normal",54,"Normal",37,"Normal","Organised",58,"Medium",38,"Press",47,"Normal","Cover"
412,14,20140919,"19/09/2014",69,"Fast","Little",55,"Mixed","Organised",52,"Normal",55,"Normal",39,"Normal","Organised",50,"Medium",46,"Press",54,"Normal","Cover"
413,14,20150910,"10/09/2015",73,"Fast","Little",55,"Mixed","Organised",77,"Risky",54,"Normal",61,"Normal","Organised",61,"Medium",72,"Double",50,"Normal","Cover"
133,15,20100222,"22/02/2010",70,"Fast","Little",65,"Mixed","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",65,"Medium",70,"Double",70,"Wide","Cover"
134,15,20110222,"22/02/2011",36,"Balanced","Little",52,"Mixed","Organised",49,"Normal",68,"Lots",55,"Normal","Organised",24,"Deep",56,"Press",66,"Normal","Cover"
135,15,20120222,"22/02/2012",48,"Balanced","Little",44,"Mixed","Organised",56,"Normal",58,"Normal",48,"Normal","Organised",52,"Medium",50,"Press",58,"Normal","Cover"
136,15,20130920,"20/09/2013",54,"Balanced","Little",55,"Mixed","Organised",56,"Normal",59,"Normal",48,"Normal","Organised",48,"Medium",50,"Press",58,"Normal","Cover"
137,15,20140919,"19/09/2014",48,"Balanced","Little",74,"Long","Organised",72,"Risky",59,"Normal",58,"Normal","Organised",54,"Medium",57,"Press",58,"Normal","Cover"
138,15,20150910,"10/09/2015",54,"Balanced","Little",67,"Long","Organised",72,"Risky",57,"Normal",47,"Normal","Organised",63,"Medium",62,"Press",58,"Normal","Cover"
535,16,20100222,"22/02/2010",65,"Balanced","Little",35,"Mixed","Organised",70,"Risky",50,"Normal",52,"Normal","Free Form",45,"Medium",70,"Double",54,"Normal","Cover"
536,16,20110222,"22/02/2011",51,"Balanced","Little",38,"Mixed","Organised",52,"Normal",40,"Normal",54,"Normal","Organised",46,"Medium",59,"Press",34,"Normal","Cover"
537,16,20120222,"22/02/2012",67,"Fast","Little",47,"Mixed","Organised",67,"Risky",68,"Lots",55,"Normal","Organised",56,"Medium",57,"Press",52,"Normal","Cover"
538,16,20130920,"20/09/2013",41,"Balanced","Little",69,"Long","Organised",55,"Normal",68,"Lots",52,"Normal","Organised",24,"Deep",48,"Press",45,"Normal","Cover"
539,16,20140919,"19/09/2014",72,"Fast","Lots",57,"Mixed","Organised",55,"Normal",49,"Normal",37,"Normal","Organised",47,"Medium",48,"Press",50,"Normal","Cover"
540,16,20150910,"10/09/2015",47,"Balanced","Normal",47,"Mixed","Organised",55,"Normal",68,"Lots",55,"Normal","Organised",56,"Medium",57,"Press",52,"Normal","Cover"
187,17,20100222,"22/02/2010",70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",45,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover"
188,17,20110222,"22/02/2011",36,"Balanced","Little",52,"Mixed","Organised",36,"Normal",52,"Normal",52,"Normal","Organised",51,"Medium",34,"Press",48,"Normal","Cover"
189,17,20120222,"22/02/2012",45,"Balanced","Little",48,"Mixed","Organised",48,"Normal",56,"Normal",56,"Normal","Organised",48,"Medium",52,"Press",54,"Normal","Cover"
190,17,20130920,"20/09/2013",45,"Balanced","Little",48,"Mixed","Organised",48,"Normal",56,"Normal",56,"Normal","Organised",48,"Medium",52,"Press",54,"Normal","Cover"
191,17,20140919,"19/09/2014",63,"Balanced","Normal",48,"Mixed","Organised",47,"Normal",62,"Normal",69,"Lots","Organised",58,"Medium",62,"Press",54,"Normal","Cover"
192,17,20150910,"10/09/2015",63,"Balanced","Normal",60,"Mixed","Organised",47,"Normal",64,"Normal",46,"Normal","Organised",58,"Medium",65,"Press",55,"Normal","Cover"
470,18,20100222,"22/02/2010",70,"Fast","Little",30,"Short","Organised",70,"Risky",55,"Normal",55,"Normal","Organised",65,"Medium",70,"Double",65,"Normal","Offside Trap"
471,18,20110222,"22/02/2011",75,"Fast","Little",35,"Mixed","Organised",72,"Risky",51,"Normal",68,"Lots","Free Form",68,"High",50,"Press",52,"Normal","Cover"
472,18,20120222,"22/02/2012",61,"Balanced","Little",53,"Mixed","Organised",42,"Normal",62,"Normal",54,"Normal","Organised",47,"Medium",59,"Press",40,"Normal","Cover"
473,18,20130920,"20/09/2013",32,"Slow","Little",53,"Mixed","Organised",36,"Normal",62,"Normal",64,"Normal","Organised",47,"Medium",52,"Press",45,"Normal","Cover"
474,18,20140919,"19/09/2014",68,"Fast","Normal",63,"Mixed","Organised",68,"Risky",38,"Normal",55,"Normal","Free Form",56,"Medium",57,"Press",54,"Normal","Cover"
475,18,20150910,"10/09/2015",69,"Fast","Normal",53,"Mixed","Organised",66,"Normal",62,"Normal",59,"Normal","Organised",63,"Medium",61,"Press",38,"Normal","Cover"
557,19,20110222,"22/02/2011",47,"Balanced","Little",54,"Mixed","Organised",54,"Normal",51,"Normal",46,"Normal","Organised",37,"Medium",50,"Press",53,"Normal","Cover"
558,19,20120222,"22/02/2012",55,"Balanced","Little",46,"Mixed","Organised",47,"Normal",53,"Normal",51,"Normal","Organised",33,"Deep",42,"Press",49,"Normal","Cover"
559,19,20130920,"20/09/2013",55,"Balanced","Little",46,"Mixed","Organised",47,"Normal",53,"Normal",51,"Normal","Organised",33,"Deep",42,"Press",49,"Normal","Cover"
560,19,20140919,"19/09/2014",54,"Balanced","Normal",47,"Mixed","Organised",53,"Normal",33,"Little",52,"Normal","Organised",42,"Medium",36,"Press",49,"Normal","Cover"
561,19,20150910,"10/09/2015",55,"Balanced","Normal",46,"Mixed","Organised",47,"Normal",53,"Normal",51,"Normal","Organised",37,"Medium",48,"Press",49,"Normal","Cover"
562,20,20150910,"10/09/2015",59,"Balanced","Normal",77,"Long","Organised",52,"Normal",77,"Lots",45,"Normal","Organised",32,"Deep",56,"Press",41,"Normal","Cover"
488,21,20100222,"22/02/2010",70,"Fast","Little",35,"Mixed","Organised",70,"Risky",65,"Normal",70,"Lots","Organised",65,"Medium",40,"Press",65,"Normal","Cover"
489,21,20110222,"22/02/2011",53,"Balanced","Little",55,"Mixed","Organised",71,"Risky",56,"Normal",56,"Normal","Organised",52,"Medium",46,"Press",47,"Normal","Cover"
490,21,20120222,"22/02/2012",54,"Balanced","Little",47,"Mixed","Organised",53,"Normal",44,"Normal",49,"Normal","Organised",34,"Medium",46,"Press",39,"Normal","Cover"
491,21,20140919,"19/09/2014",56,"Balanced","Normal",53,"Mixed","Organised",53,"Normal",46,"Normal",49,"Normal","Organised",32,"Deep",46,"Press",37,"Normal","Cover"
492,21,20150910,"10/09/2015",54,"Balanced","Normal",47,"Mixed","Organised",53,"Normal",44,"Normal",49,"Normal","Organised",34,"Medium",46,"Press",39,"Normal","Cover"
791,22,20100222,"22/02/2010",30,"Slow","Little",30,"Short","Free Form",70,"Risky",60,"Normal",70,"Lots","Free Form",60,"Medium",70,"Double",65,"Normal","Offside Trap"
792,22,20110222,"22/02/2011",68,"Fast","Little",58,"Mixed","Free Form",68,"Risky",67,"Lots",71,"Lots","Free Form",57,"Medium",58,"Press",68,"Wide","Cover"
793,22,20120222,"22/02/2012",61,"Balanced","Little",65,"Mixed","Organised",53,"Normal",57,"Normal",38,"Normal","Organised",38,"Medium",49,"Press",55,"Normal","Cover"
794,22,20130920,"20/09/2013",65,"Balanced","Little",65,"Mixed","Organised",53,"Normal",57,"Normal",38,"Normal","Organised",38,"Medium",49,"Press",55,"Normal","Cover"
795,22,20140919,"19/09/2014",65,"Balanced","Normal",65,"Mixed","Organised",53,"Normal",57,"Normal",38,"Normal","Organised",38,"Medium",49,"Press",55,"Normal","Cover"
796,22,20150910,"10/09/2015",53,"Balanced","Normal",53,"Mixed","Organised",53,"Normal",52,"Normal",60,"Normal","Organised",42,"Medium",48,"Press",59,"Normal","Cover"
803,23,20100222,"22/02/2010",30,"Slow","Little",35,"Mixed","Organised",35,"Normal",50,"Normal",70,"Lots","Free Form",40,"Medium",30,"Contain",50,"Normal","Offside Trap"
804,23,20110222,"22/02/2011",54,"Balanced","Little",45,"Mixed","Organised",38,"Normal",54,"Normal",57,"Normal","Organised",59,"Medium",39,"Press",66,"Normal","Cover"
805,23,20120222,"22/02/2012",25,"Slow","Little",40,"Mixed","Organised",58,"Normal",42,"Normal",52,"Normal","Organised",49,"Medium",45,"Press",47,"Normal","Cover"
806,23,20130920,"20/09/2013",29,"Slow","Little",40,"Mixed","Organised",58,"Normal",42,"Normal",52,"Normal","Organised",49,"Medium",45,"Press",47,"Normal","Cover"
807,23,20140919,"19/09/2014",35,"Balanced","Normal",40,"Mixed","Organised",58,"Normal",42,"Normal",52,"Normal","Organised",49,"Medium",45,"Press",47,"Normal","Cover"
808,23,20150910,"10/09/2015",34,"Balanced","Normal",38,"Mixed","Organised",55,"Normal",39,"Normal",49,"Normal","Organised",43,"Medium",42,"Press",49,"Normal","Cover"
919,24,20100222,"22/02/2010",30,"Slow","Little",30,"Short","Organised",45,"Normal",40,"Normal",70,"Lots","Organised",35,"Medium",45,"Press",45,"Normal","Offside Trap"
920,24,20110222,"22/02/2011",54,"Balanced","Little",56,"Mixed","Organised",67,"Risky",61,"Normal",59,"Normal","Organised",48,"Medium",56,"Press",67,"Wide","Cover"
921,24,20120222,"22/02/2012",48,"Balanced","Little",44,"Mixed","Organised",53,"Normal",42,"Normal",53,"Normal","Organised",53,"Medium",39,"Press",57,"Normal","Cover"
922,24,20130920,"20/09/2013",48,"Balanced","Little",44,"Mixed","Organised",53,"Normal",42,"Normal",53,"Normal","Organised",53,"Medium",39,"Press",57,"Normal","Cover"
923,24,20140919,"19/09/2014",48,"Balanced","Normal",44,"Mixed","Organised",53,"Normal",42,"Normal",53,"Normal","Organised",53,"Medium",39,"Press",57,"Normal","Cover"
924,24,20150910,"10/09/2015",48,"Balanced","Normal",44,"Mixed","Organised",53,"Normal",42,"Normal",53,"Normal","Organised",53,"Medium",39,"Press",57,"Normal","Cover"
833,25,20100222,"22/02/2010",60,"Balanced","Little",45,"Mixed","Organised",35,"Normal",70,"Lots",55,"Normal","Organised",30,"Deep",70,"Double",35,"Normal","Cover"
834,25,20110222,"22/02/2011",70,"Fast","Little",69,"Long","Organised",55,"Normal",72,"Lots",57,"Normal","Organised",48,"Medium",67,"Double",55,"Normal","Cover"
835,25,20120222,"22/02/2012",42,"Balanced","Little",59,"Mixed","Organised",36,"Normal",78,"Lots",59,"Normal","Organised",37,"Medium",60,"Press",68,"Wide","Cover"
836,25,20130920,"20/09/2013",46,"Balanced","Little",38,"Mixed","Organised",52,"Normal",73,"Lots",37,"Normal","Free Form",37,"Medium",60,"Press",68,"Wide","Cover"
837,25,20140919,"19/09/2014",46,"Balanced","Normal",38,"Mixed","Organised",52,"Normal",68,"Lots",37,"Normal","Organised",37,"Medium",60,"Press",65,"Normal","Cover"
838,25,20150910,"10/09/2015",46,"Balanced","Normal",39,"Mixed","Organised",50,"Normal",60,"Normal",36,"Normal","Free Form",49,"Medium",57,"Press",50,"Normal","Cover"
181,26,20100222,"22/02/2010",65,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",70,"High",70,"Double",70,"Wide","Cover"
182,26,20110222,"22/02/2011",67,"Fast","Little",49,"Mixed","Organised",67,"Risky",67,"Lots",48,"Normal","Organised",46,"Medium",47,"Press",53,"Normal","Cover"
183,26,20120222,"22/02/2012",60,"Balanced","Little",64,"Mixed","Organised",54,"Normal",46,"Normal",54,"Normal","Organised",47,"Medium",43,"Press",56,"Normal","Cover"
184,26,20130920,"20/09/2013",60,"Balanced","Little",69,"Long","Organised",54,"Normal",59,"Normal",62,"Normal","Organised",47,"Medium",43,"Press",56,"Normal","Cover"
185,26,20140919,"19/09/2014",60,"Balanced","Little",54,"Mixed","Organised",52,"Normal",46,"Normal",41,"Normal","Organised",33,"Deep",41,"Press",39,"Normal","Cover"
186,26,20150910,"10/09/2015",60,"Balanced","Normal",67,"Long","Organised",52,"Normal",56,"Normal",46,"Normal","Organised",33,"Deep",41,"Press",39,"Normal","Cover"
517,27,20100222,"22/02/2010",45,"Balanced","Little",55,"Mixed","Organised",45,"Normal",70,"Lots",70,"Lots","Organised",70,"High",70,"Double",70,"Wide","Cover"
518,27,20110222,"22/02/2011",48,"Balanced","Little",42,"Mixed","Organised",49,"Normal",68,"Lots",53,"Normal","Organised",38,"Medium",48,"Press",53,"Normal","Cover"
519,27,20120222,"22/02/2012",38,"Balanced","Little",54,"Mixed","Organised",43,"Normal",49,"Normal",64,"Normal","Organised",37,"Medium",51,"Press",53,"Normal","Cover"
520,27,20130920,"20/09/2013",61,"Balanced","Little",54,"Mixed","Organised",43,"Normal",62,"Normal",56,"Normal","Organised",48,"Medium",50,"Press",53,"Normal","Cover"
521,27,20140919,"19/09/2014",66,"Balanced","Normal",53,"Mixed","Organised",54,"Normal",69,"Lots",51,"Normal","Organised",47,"Medium",47,"Press",49,"Normal","Cover"
522,27,20150910,"10/09/2015",49,"Balanced","Normal",52,"Mixed","Organised",49,"Normal",54,"Normal",64,"Normal","Organised",41,"Medium",51,"Press",53,"Normal","Cover"
541,28,20100222,"22/02/2010",55,"Balanced","Little",45,"Mixed","Organised",30,"Safe",70,"Lots",70,"Lots","Organised",40,"Medium",55,"Press",60,"Normal","Cover"
542,28,20110222,"22/02/2011",59,"Balanced","Little",40,"Mixed","Organised",56,"Normal",54,"Normal",48,"Normal","Organised",59,"Medium",46,"Press",53,"Normal","Cover"
543,28,20120222,"22/02/2012",68,"Fast","Little",45,"Mixed","Organised",54,"Normal",44,"Normal",43,"Normal","Organised",48,"Medium",56,"Press",66,"Normal","Cover"
544,28,20130920,"20/09/2013",57,"Balanced","Little",53,"Mixed","Organised",54,"Normal",49,"Normal",46,"Normal","Organised",36,"Medium",56,"Press",33,"Narrow","Cover"
545,28,20140919,"19/09/2014",66,"Balanced","Normal",38,"Mixed","Organised",56,"Normal",40,"Normal",52,"Normal","Organised",49,"Medium",48,"Press",62,"Normal","Cover"
546,28,20150910,"10/09/2015",54,"Balanced","Normal",53,"Mixed","Organised",54,"Normal",49,"Normal",46,"Normal","Organised",48,"Medium",56,"Press",66,"Normal","Cover"
499,29,20100222,"22/02/2010",50,"Balanced","Little",30,"Short","Organised",30,"Safe",70,"Lots",60,"Normal","Organised",55,"Medium",50,"Press",50,"Normal","Cover"
